direction,lots,entry,exit,entry_time,exit_time,pnl,reason
1,0.23,1921.1599999999999,1914.5971428571424,2023-08-24 07:00:00,2023-08-24 15:00:00,-152.55571428572046,SL
1,0.2,1934.4099999999999,1941.6399999999999,2023-08-29 18:00:00,2023-08-31 16:00:00,143.20000000000036,SL
1,0.47000000000000003,1936.7099999999998,1941.6399999999999,2023-08-30 11:00:00,2023-08-31 16:00:00,228.42000000000303,SL
1,0.3,1950.29,1943.59,2023-09-01 16:00:00,2023-09-01 17:00:00,-203.10000000000136,SL(ギャップ)
1,0.45,1934.6599999999999,1931.2014285714283,2023-09-19 11:00:00,2023-09-19 17:00:00,-158.7857142857189,SL
1,0.37,1934.8999999999999,1930.7471428571425,2023-09-19 17:00:00,2023-09-19 19:00:00,-156.24571428572116,SL
1,0.27,1931.26,1929.9757142857143,2023-09-18 20:00:00,2023-09-19 21:00:00,-36.56571428571432,SL
1,0.22,1946.9699999999998,1940.4457142857138,2023-09-20 20:00:00,2023-09-20 21:00:00,-145.07428571429094,SL
1,0.28,1874.1399999999999,1868.9471428571428,2023-10-11 14:00:00,2023-10-11 15:00:00,-147.35999999999785,SL
1,0.29,1868.1599999999999,1873.8799999999999,2023-10-11 11:00:00,2023-10-12 16:00:00,163.8500000000008,SL
1,0.22,1873.1399999999999,1873.8799999999999,2023-10-11 16:00:00,2023-10-12 16:00:00,14.740000000000201,SL
1,0.27,1887.86,1914.87,2023-10-13 13:00:00,2023-10-16 09:00:00,727.3799999999999,SL(ギャップ)
1,0.2,1896.6599999999999,1914.87,2023-10-13 15:00:00,2023-10-16 09:00:00,362.80000000000075,SL(ギャップ)
1,0.18,1944.54,1940.04,2023-10-18 13:00:00,2023-10-18 18:00:00,-82.26,SL
1,0.14,1957.29,1945.9699999999998,2023-10-18 17:00:00,2023-10-18 18:00:00,-159.4600000000023,SL
1,0.14,1962.23,1974.267142857143,2023-10-19 20:00:00,2023-10-20 20:00:00,167.54000000000136,SL
1,0.12,1977.9699999999998,1974.267142857143,2023-10-20 07:00:00,2023-10-20 20:00:00,-45.274285714281945,SL
1,0.25,1972.36,1981.7071428571426,2023-11-16 16:00:00,2023-11-17 16:00:00,231.92857142856678,SL
1,0.21,1979.8899999999999,1981.7071428571426,2023-11-16 17:00:00,2023-11-17 16:00:00,36.68999999999667,SL
1,0.16,2005.6599999999999,1995.5785714285712,2023-11-21 17:00:00,2023-11-22 03:00:00,-162.42285714285856,SL
1,0.28,2003.99,1998.1842857142856,2023-11-22 10:00:00,2023-11-22 15:00:00,-164.52000000000407,SL
1,0.17,1997.9599999999998,1995.9485714285713,2023-11-21 16:00:00,2023-11-22 17:00:00,-35.38428571428443,SL
1,0.23,2002.1299999999999,1995.382857142857,2023-11-22 15:00:00,2023-11-22 17:00:00,-156.79428571428878,SL
1,0.23,2021.7199999999998,2036.8085714285712,2023-11-28 16:00:00,2023-11-29 11:00:00,345.4271428571425,SL
1,0.21,2026.29,2036.8085714285712,2023-11-28 17:00:00,2023-11-29 11:00:00,219.4199999999962,SL
1,0.26,2046.6499999999999,2040.325714285714,2023-12-01 12:00:00,2023-12-01 13:00:00,-166.25142857143356,SL
1,0.13,2059.02,2096.627142857143,2023-12-01 19:00:00,2023-12-04 02:00:00,487.98285714286055,SL
1,0.12,2067.5099999999998,2096.627142857143,2023-12-01 20:00:00,2023-12-04 02:00:00,348.56571428572005,SL
1,0.22,2037.3999999999999,2026.19,2023-12-07 16:00:00,2023-12-07 17:00:00,-248.1599999999958,SL(ギャップ)
1,0.13,2043.35,2031.1057142857142,2023-12-14 17:00:00,2023-12-14 20:00:00,-160.08571428571477,SL
1,0.23,2041.7099999999998,2051.7542857142857,2023-12-21 16:00:00,2023-12-22 18:00:00,229.40857142857647,SL
1,0.17,2049.92,2051.7542857142857,2023-12-22 07:00:00,2023-12-22 18:00:00,29.992857142856394,SL
1,0.22,2077.2799999999997,2069.534285714285,2024-01-02 12:00:00,2024-01-02 13:00:00,-171.94571428572365,SL
1,0.23,2038.04,2033.1714285714286,2024-01-30 10:00:00,2024-01-30 17:00:00,-113.58714285714187,SL
1,0.21,2046.73,2032.5,2024-01-30 17:00:00,2024-01-30 18:00:00,-300.3000000000004,SL(ギャップ)
1,0.29,2042.1499999999999,2040.5442857142857,2024-01-31 16:00:00,2024-01-31 21:00:00,-48.59571428571056,SL
1,0.22,2051.7599999999998,2044.3671428571427,2024-01-31 17:00:00,2024-01-31 21:00:00,-164.18285714285642,SL
1,0.12,2059.62,2053.88,2024-02-01 19:00:00,2024-02-02 11:00:00,-69.71999999999738,SL(ギャップ)
1,0.35000000000000003,2024.2199999999998,2022.9942857142858,2024-02-20 12:00:00,2024-02-21 18:00:00,-45.34999999999169,SL
1,0.33,2027.11,2022.9942857142858,2024-02-20 14:00:00,2024-02-21 18:00:00,-138.1285714285669,SL
1,0.27,2033.48,2027.8057142857142,2024-02-22 11:00:00,2024-02-22 13:00:00,-155.095714285717,SL
1,0.18,2038.6,2029.9099999999999,2024-02-23 19:00:00,2024-02-26 02:00:00,-157.68000000000097,SL
1,0.22,2028.3,2030.9014285714284,2024-02-23 15:00:00,2024-02-26 13:00:00,55.691428571425114,SL
